	A549Swt0h1_h0	A549Swt0h2_h0	A549S3wt3hHGF1_h3	A549S3wt3hHGF2_h3	A549S6wt6hHGF1_h6	A549S6wt6hHGF2_h6	A549S12wt12hHGF1_h12	A549S12wt12hHGF2_h12
RNU6-17P:ENSG00000206972	0	0	0	0	0	0	0	0
RNU6-1145P:ENSG00000206973	0	0	0	0	0	0	0	0
RNU6-1144P:ENSG00000206974	0	0	0	0	0	0	0	0
RNU6-13P:ENSG00000206975	0	0	0	0	0	0	0	0
AC087441.1:ENSG00000206976	0	0	0	0	0	0	0	0
AL365205.2:ENSG00000206977	0	0	0	0	0	0	0	0
AC093700.1:ENSG00000206978	0	0	0	0	0	0	0	0
SNORD61:ENSG00000206979	0	0	0	0	0	0	0	0
RNU6-662P:ENSG00000206980	0	0	0	0	0	0	0	0
RNU6-40P:ENSG00000206981	0	0	0	0	0	0	0	0
AL080315.1:ENSG00000206982	0	0	0	0	0	0	0	0
RNU6-49P:ENSG00000206983	0	0	0	0	0	0	0	0
RNU6-198P:ENSG00000206985	0	0	0	0	0	0	0	0
AC135983.1:ENSG00000206987	0	0	0	0	0	0	0	0
SNORD63:ENSG00000206989	0	0	0	0	0	0	0	0
AL451074.1:ENSG00000206990	0	0	0	0	0	0	0	0
RNU6-610P:ENSG00000206991	0	0	0	0	0	0	0	0
RNU6-574P:ENSG00000206992	0	0	0	0	0	0	0	0
AC010674.1:ENSG00000206995	0	0	0	0	0	0	0	0
RNU6-842P:ENSG00000206996	0	0	0	0	0	0	0	0
RNU6-524P:ENSG00000206997	0	0	0	0	0	0	0	0
AL031681.1:ENSG00000206998	0	0	0	0	0	0	0	0
RNU6-622P:ENSG00000206999	0	0	0	0	0	0	0	0
RNU6-820P:ENSG00000207000	0	0	0	0	0	0	0	0
SNORD116-2:ENSG00000207001	0	0	0	0	0	0	0	0
AC020634.1:ENSG00000207002	0	0	0	0	0	0	0	0
RNU6-611P:ENSG00000207003	0	0	0	0	0	0	0	0
RNU6-301P:ENSG00000207004	0	0	0	0	0	0	0	0
RNU1-2:ENSG00000207005	1	3	0	0	1	1	20	2
RNU6-891P:ENSG00000207007	0	0	0	0	0	0	0	0
SNORA54:ENSG00000207008	0	0	0	0	0	0	0	0
AC016773.1:ENSG00000207009	0	0	0	0	0	0	0	0
RNU6-318P:ENSG00000207010	0	0	0	0	0	0	0	0
RNY4P13:ENSG00000207011	0	0	0	0	0	0	0	0
RNU6-72P:ENSG00000207012	0	0	0	0	0	0	0	0
RNU6-804P:ENSG00000207013	0	0	0	0	0	0	0	0
SNORD116-3:ENSG00000207014	0	0	0	0	0	0	0	0
SNORA36C:ENSG00000207016	0	0	0	0	0	0	0	0
RNU6-167P:ENSG00000207019	0	0	0	0	0	0	0	0
AC010378.1:ENSG00000207020	0	0	0	0	0	0	0	0
AC137896.1:ENSG00000207021	0	0	0	0	0	0	0	0
AL162740.1:ENSG00000207022	0	0	0	0	0	0	0	0
RNU6-975P:ENSG00000207023	0	0	0	0	0	0	0	0
AP001453.1:ENSG00000207024	0	0	0	0	0	0	0	0
Z93023.1:ENSG00000207025	0	0	0	0	0	0	0	0
RNU6-472P:ENSG00000207026	0	0	0	0	0	0	0	0
AC012119.1:ENSG00000207027	0	0	0	0	0	0	0	0
RNU6-43P:ENSG00000207029	0	0	0	0	0	0	0	0
SNORD59A:ENSG00000207031	0	0	0	0	0	0	0	0
AL356494.1:ENSG00000207032	0	0	0	0	0	0	0	0
RNU6-154P:ENSG00000207033	0	0	0	0	0	0	0	0
AP001011.1:ENSG00000207034	0	0	0	0	0	0	0	0
RNY3P14:ENSG00000207036	0	0	0	0	0	0	0	0
RNU6-339P:ENSG00000207037	0	0	0	0	0	0	0	0
AL513523.2:ENSG00000207039	0	0	0	0	0	0	0	0
RNU6-3P:ENSG00000207041	0	0	0	0	0	0	0	0
RNU6-196P:ENSG00000207042	0	0	0	0	0	0	0	0
RNU6-1226P:ENSG00000207044	0	0	0	0	0	0	0	0
RNU6-532P:ENSG00000207045	0	0	0	0	0	0	0	0
RNU6-886P:ENSG00000207046	0	0	0	0	0	0	0	0
SNORD51:ENSG00000207047	0	0	0	0	0	0	0	0
AC079135.1:ENSG00000207049	0	0	0	0	0	0	0	0
SNORA27:ENSG00000207051	0	1	0	0	0	0	0	0
RNU6-378P:ENSG00000207052	0	0	0	0	0	0	0	0
RNU6-937P:ENSG00000207053	0	0	0	0	0	0	0	0
RNU1-8P:ENSG00000207056	0	0	0	0	0	0	0	0
RNU6-784P:ENSG00000207058	0	0	0	0	0	0	0	0
RNU6-480P:ENSG00000207060	0	0	0	0	0	0	0	0
AF093117.1:ENSG00000207061	0	0	0	0	0	0	0	0
SNORA15B-1:ENSG00000207062	0	0	0	0	0	0	0	0
SNORD116-1:ENSG00000207063	0	0	0	0	0	0	0	0
RNU5A-2P:ENSG00000207065	0	0	0	0	0	0	0	0
SNORA72:ENSG00000207067	0	1	0	0	0	1	0	0
RNU6-463P:ENSG00000207068	0	0	0	0	0	0	0	0
AC013267.2:ENSG00000207069	0	0	0	0	0	0	0	0
RNU6-1207P:ENSG00000207071	0	0	0	0	0	0	0	0
RNU6-39P:ENSG00000207072	0	0	0	0	0	0	0	0
AC010619.1:ENSG00000207073	0	0	0	0	0	0	0	0
AC108022.1:ENSG00000207075	0	0	0	0	0	0	0	0
RNU6-1113P:ENSG00000207076	0	0	0	0	0	0	0	0
RNU6-1119P:ENSG00000207077	0	0	0	0	0	0	0	0
AL445228.1:ENSG00000207080	0	0	0	0	0	0	0	0
RNU6-616P:ENSG00000207081	0	0	0	0	0	0	0	0
RNU6-171P:ENSG00000207082	0	0	0	0	0	0	0	0
RNU6-22P:ENSG00000207083	0	0	0	0	0	0	0	0
AC069224.1:ENSG00000207084	0	0	0	0	0	0	0	0
AC073195.1:ENSG00000207086	0	0	0	0	0	0	0	0
RNU6-242P:ENSG00000207087	0	0	0	0	0	0	0	0
SNORA7B:ENSG00000207088	0	0	0	0	0	0	0	0
RNU6-921P:ENSG00000207089	0	0	0	0	0	0	0	0
RNU6-517P:ENSG00000207090	0	0	0	0	0	0	0	0
AC021822.1:ENSG00000207091	0	0	0	0	0	0	0	0
AP001033.2:ENSG00000207092	0	0	0	0	0	0	0	0
SNORD116-8:ENSG00000207093	0	0	0	0	0	0	0	0
AC002069.1:ENSG00000207094	0	0	0	0	0	0	0	0
RNU6-424P:ENSG00000207095	0	0	0	0	0	0	0	0
RNU6-614P:ENSG00000207097	0	0	0	0	0	0	0	0
AP000281.1:ENSG00000207098	0	0	0	0	0	0	0	0
RNU6-166P:ENSG00000207099	0	0	0	0	0	0	0	0
Z77249.1:ENSG00000207100	0	0	0	0	0	0	0	0
AC027702.1:ENSG00000207101	0	0	0	0	0	0	0	0
RNU6-434P:ENSG00000207104	0	0	0	0	0	0	0	0
AC091073.1:ENSG00000207105	0	0	0	0	0	0	0	0
AL133383.2:ENSG00000207108	0	0	0	0	0	0	0	0
SNORD38C:ENSG00000207109	0	0	0	0	0	0	0	0
RNVU1-32:ENSG00000207110	1	5	4	1	4	2	8	2
SNORA25:ENSG00000207112	0	0	0	0	0	0	0	0
RNU6-16P:ENSG00000207113	0	0	0	0	0	0	0	0
RNU6-348P:ENSG00000207114	0	0	0	0	0	0	0	0
RNU6-364P:ENSG00000207115	0	0	0	0	0	0	0	0
RNU6-31P:ENSG00000207116	0	0	0	0	0	0	0	0
AC009506.1:ENSG00000207117	0	0	0	0	0	0	0	0
SNORD14D:ENSG00000207118	0	0	0	0	0	0	0	0
AC027237.1:ENSG00000207119	0	0	0	0	0	0	0	0
RNU6-1230P:ENSG00000207121	0	0	0	0	0	0	0	0
RNU6-591P:ENSG00000207122	0	0	0	0	0	0	0	0
AC008158.1:ENSG00000207123	0	0	0	0	0	0	0	0
RNU6-163P:ENSG00000207124	0	0	0	0	0	0	0	0
AC091180.2:ENSG00000207127	0	0	0	0	0	0	0	0
RNU6-729P:ENSG00000207128	0	0	0	0	0	0	0	0
AC079945.1:ENSG00000207130	0	0	0	0	0	0	0	0
AL138919.1:ENSG00000207131	0	0	0	0	0	0	0	0
AC090685.1:ENSG00000207132	0	0	0	0	0	0	0	0
SNORD116-7:ENSG00000207133	0	0	0	0	0	0	0	0
RNU6-106P:ENSG00000207134	0	0	0	0	0	0	0	0
RNU6-452P:ENSG00000207135	0	0	0	0	0	0	0	0
RNU6-769P:ENSG00000207136	0	0	0	0	0	0	0	0
SNORD116-13:ENSG00000207137	0	0	0	0	0	0	0	0
RNU6-869P:ENSG00000207138	0	0	0	0	0	0	0	0
AL365258.1:ENSG00000207139	0	0	0	0	0	0	0	0
AC079601.1:ENSG00000207142	0	0	0	0	0	0	0	0
RNU6-1297P:ENSG00000207144	0	0	0	0	0	0	0	0
SNORA18:ENSG00000207145	0	1	0	0	0	1	0	0
AL035425.1:ENSG00000207146	0	0	0	0	0	0	0	0
AF064863.1:ENSG00000207147	0	0	0	0	0	0	0	0
AC093867.1:ENSG00000207148	0	0	0	0	0	0	0	0
RNU6-465P:ENSG00000207149	0	0	0	0	0	0	0	0
RNU6-185P:ENSG00000207150	0	0	0	0	0	0	0	0
AC003657.1:ENSG00000207151	0	0	0	0	0	0	0	0
RNU6-933P:ENSG00000207153	0	0	0	0	0	0	0	0
RNU1-46P:ENSG00000207154	0	0	0	0	0	0	0	0
RNY1P14:ENSG00000207155	0	0	0	0	0	0	0	0
RNU6-505P:ENSG00000207156	0	0	0	0	0	0	0	0
RNY3P4:ENSG00000207157	0	0	0	0	0	0	0	0
RNU6-929P:ENSG00000207158	0	0	0	0	0	0	0	0
RNU6-1289P:ENSG00000207160	0	0	0	0	0	0	0	0
AC013406.1:ENSG00000207161	0	0	0	0	0	0	0	0
RNU6-549P:ENSG00000207162	0	0	0	0	0	0	0	0
RNU6-905P:ENSG00000207163	0	0	0	0	0	0	0	0
AL122126.1:ENSG00000207164	0	0	0	0	0	0	0	0
SNORA70:ENSG00000207165	0	0	0	0	0	0	0	0
SNORA68:ENSG00000207166	0	0	0	0	0	0	0	0
RNU6-1340P:ENSG00000207167	0	0	0	0	0	0	0	0
SNORA15:ENSG00000207168	0	0	0	0	0	0	0	0
RNU6-24P:ENSG00000207169	0	0	0	0	0	0	0	0
RNU6-1215P:ENSG00000207170	0	0	0	0	0	0	0	0
AC079926.1:ENSG00000207171	0	0	0	0	0	0	0	0
RNU6-1162P:ENSG00000207172	0	0	0	0	0	0	0	0
AC012182.1:ENSG00000207173	0	0	0	0	0	0	0	0
SNORD116-15:ENSG00000207174	0	0	0	0	0	0	0	0
RNU1-67P:ENSG00000207175	0	0	0	0	0	0	0	0
AC087245.1:ENSG00000207176	0	0	0	0	0	0	0	0
AC008650.1:ENSG00000207177	0	0	0	0	0	0	0	0
RNU6-1122P:ENSG00000207178	0	0	0	0	0	0	0	0
RNU6-411P:ENSG00000207180	0	0	0	0	0	0	0	0
SNORA14B:ENSG00000207181	0	0	0	0	0	0	0	1
RNU1-44P:ENSG00000207182	0	0	0	0	0	0	0	0
RNU6-843P:ENSG00000207183	0	0	0	0	0	0	0	0
RNU6-1157P:ENSG00000207185	0	0	0	0	0	0	0	0
SNORA10B:ENSG00000207187	0	0	0	0	0	0	1	0
AC137767.1:ENSG00000207189	0	0	0	0	0	0	0	0
RNU6-809P:ENSG00000207190	0	0	0	0	0	0	0	0
SNORD116-5:ENSG00000207191	0	0	0	0	0	0	0	0
RNU6-649P:ENSG00000207192	0	0	0	0	0	0	0	0
AL138883.1:ENSG00000207193	0	0	0	0	0	0	0	0
RNU6-1026P:ENSG00000207194	0	0	0	0	0	0	0	0
AC131953.1:ENSG00000207195	0	0	0	0	0	0	0	0
AP000590.1:ENSG00000207196	0	0	0	0	0	0	0	0
SNORD116-12:ENSG00000207197	0	0	0	0	0	0	0	0
RNU6-1195P:ENSG00000207198	0	0	0	0	0	0	0	0
AC108863.1:ENSG00000207199	0	0	0	0	0	0	0	0
RNU6-45P:ENSG00000207200	0	0	0	0	0	0	0	0
RNU1-148P:ENSG00000207201	0	0	0	0	0	0	0	0
RNU6-800P:ENSG00000207202	0	0	0	0	0	0	0	0
RNU6-71P:ENSG00000207203	0	0	0	0	0	0	0	0
RNU6-393P:ENSG00000207204	0	0	0	0	0	0	0	0
RNVU1-15:ENSG00000207205	0	0	0	1	1	0	0	0
RNU6-1035P:ENSG00000207206	0	0	0	0	0	0	0	0
AC016753.2:ENSG00000207207	0	0	0	0	0	0	0	0
RNU6-790P:ENSG00000207208	0	0	0	0	0	0	0	0
AC242425.1:ENSG00000207209	0	0	0	0	0	0	0	0
AC008378.1:ENSG00000207210	0	0	0	0	0	0	0	0
RNU6-102P:ENSG00000207214	0	0	0	0	0	0	0	0
SNORD3H:ENSG00000207215	0	0	0	0	0	0	0	0
SNORA80D:ENSG00000207217	0	0	0	0	0	0	0	0
AC009413.1:ENSG00000207218	0	0	0	0	0	0	0	0
RNU1-57P:ENSG00000207220	0	0	0	0	0	0	0	0
SNORA70E:ENSG00000207221	0	0	0	0	0	0	0	0
RNU6-456P:ENSG00000207222	0	0	0	0	0	0	0	0
AC090543.1:ENSG00000207223	0	0	0	0	0	0	0	0
RNU6-692P:ENSG00000207225	0	0	0	0	0	0	0	0
RNU6-900P:ENSG00000207227	0	0	0	0	0	0	0	0
AC034238.1:ENSG00000207229	0	0	0	0	0	0	0	0
AC106897.1:ENSG00000207231	0	0	0	0	0	0	0	0
SNORA37:ENSG00000207233	0	0	0	0	0	0	0	0
RNU6-125P:ENSG00000207234	0	0	0	0	0	0	0	0
AC099850.1:ENSG00000207235	0	0	0	0	0	0	0	0
RNU6-110P:ENSG00000207237	0	0	0	0	0	0	0	0
AC021549.1:ENSG00000207240	0	0	0	0	0	0	0	0
SNORD45A:ENSG00000207241	0	0	0	0	0	0	0	0
RNU6-1065P:ENSG00000207242	0	0	0	0	0	0	0	0
Z84721.1:ENSG00000207243	0	0	0	0	0	0	0	0
AC087763.1:ENSG00000207244	0	0	0	0	0	0	0	0
SNORD116-29:ENSG00000207245	0	0	0	0	0	0	0	0
AL365223.1:ENSG00000207247	0	0	0	0	0	0	0	0
RNU6-1005P:ENSG00000207248	0	0	0	0	0	0	0	0
AC068057.1:ENSG00000207249	0	0	0	0	0	0	0	0
RNU6-342P:ENSG00000207251	0	0	0	0	0	0	0	0
AC067902.1:ENSG00000207252	0	0	0	0	0	0	0	0
RNU6-1117P:ENSG00000207255	0	0	0	0	0	0	0	0
RNU6-880P:ENSG00000207256	0	0	0	0	0	0	0	0
RNU6-18P:ENSG00000207257	0	0	0	0	0	0	0	0
AC016813.1:ENSG00000207258	0	0	0	0	0	0	0	0
RNU6-35P:ENSG00000207260	0	0	0	0	0	0	0	0
RNU6-738P:ENSG00000207261	0	0	0	0	0	0	0	0
SNORD116-16:ENSG00000207263	0	0	0	0	0	0	0	0
RNU6-15P:ENSG00000207264	0	0	0	0	0	0	0	0
AC010320.1:ENSG00000207265	0	0	0	0	0	0	0	0
RNU6-1241P:ENSG00000207266	0	0	0	0	0	0	0	0
RNU6-1081P:ENSG00000207267	0	0	0	0	0	0	0	0
SNORA70C:ENSG00000207268	0	0	0	0	0	0	0	0
RN7SKP62:ENSG00000207269	0	0	0	0	0	0	0	0
RNU6-601P:ENSG00000207270	0	0	0	0	0	0	0	0
AL354660.1:ENSG00000207271	0	0	0	0	0	0	0	0
SNORA70I:ENSG00000207274	0	0	0	0	0	0	0	0
RNU6-441P:ENSG00000207275	0	0	0	0	0	0	0	0
RNU6-1160P:ENSG00000207276	0	0	0	0	0	0	0	0
RNU6-831P:ENSG00000207278	0	0	0	0	0	0	0	0
SNORD116-24:ENSG00000207279	0	0	0	0	0	0	0	0
SNORD20:ENSG00000207280	0	0	0	0	0	0	0	0
AC118344.3:ENSG00000207281	0	0	0	0	0	0	0	1
AL160411.1:ENSG00000207282	0	0	0	0	0	0	0	0
AC090955.1:ENSG00000207283	0	0	0	0	0	0	0	0
AL024509.1:ENSG00000207286	0	0	0	0	0	0	0	0
RNU6-1274P:ENSG00000207287	0	0	0	0	0	0	0	0
RNU6-1235P:ENSG00000207289	0	0	0	0	0	0	0	0
AC025169.1:ENSG00000207290	0	0	0	0	0	0	0	0
RNU6-30P:ENSG00000207291	0	0	0	0	0	0	0	0
BX276089.1:ENSG00000207292	0	0	0	0	0	0	0	0
AC034244.1:ENSG00000207293	0	0	0	0	0	0	0	0
AC139256.1:ENSG00000207294	0	0	0	0	0	0	0	0
RNU6-851P:ENSG00000207295	0	0	0	0	0	0	0	0
RNU6-140P:ENSG00000207296	0	0	0	0	0	0	0	0
SNORD7:ENSG00000207297	0	0	0	0	0	0	0	0
RNU6-83P:ENSG00000207298	0	0	0	0	0	0	0	0
AP000648.1:ENSG00000207299	0	0	0	0	0	0	0	0
AL357060.1:ENSG00000207300	0	0	0	0	0	0	0	0
AL033528.1:ENSG00000207302	0	0	0	0	0	0	0	0
AC098820.1:ENSG00000207303	0	0	0	0	0	0	0	0
SNORA8:ENSG00000207304	0	0	0	0	0	0	0	0
AL049650.1:ENSG00000207305	0	0	0	0	0	0	0	0
RNU6-1152P:ENSG00000207306	0	0	0	0	0	0	0	0
RNU6-145P:ENSG00000207307	0	0	0	0	0	0	0	0
RNU6-878P:ENSG00000207308	0	0	0	0	0	0	0	0
RNU4-70P:ENSG00000207309	0	0	0	0	0	0	0	0
RNU6-1127P:ENSG00000207310	0	0	0	0	0	0	0	0
RNU6-429P:ENSG00000207312	0	0	0	0	0	0	0	0
SNORA2B:ENSG00000207313	0	0	0	0	0	0	0	0
AC108750.1:ENSG00000207316	0	0	0	0	0	0	0	0
AC010292.1:ENSG00000207317	0	0	0	0	0	0	0	0
RNU6-1184P:ENSG00000207318	0	0	0	0	0	0	0	0
AC010731.1:ENSG00000207319	0	0	0	0	0	0	0	0
AC007685.2:ENSG00000207320	0	0	0	0	0	0	0	0
RNU6-160P:ENSG00000207321	0	0	0	0	0	0	0	0
RNU1-89P:ENSG00000207322	0	0	0	0	0	0	0	0
RNU6-901P:ENSG00000207323	0	0	0	0	0	0	0	0
RNY1P4:ENSG00000207325	0	0	0	0	0	0	0	0
AL356583.1:ENSG00000207326	0	0	0	0	0	0	0	0
RNU6-883P:ENSG00000207327	0	0	0	0	0	0	0	0
RNU6-636P:ENSG00000207328	0	0	0	0	0	0	0	0
AL359963.1:ENSG00000207329	0	0	0	0	0	0	0	0
RNU6-73P:ENSG00000207330	0	0	0	0	0	0	0	0
RNU6-1263P:ENSG00000207331	0	0	0	0	0	0	0	0
RNU6-146P:ENSG00000207332	0	0	0	0	0	0	0	0
RNU6-680P:ENSG00000207333	0	0	0	0	0	0	0	0
RNU6-12P:ENSG00000207334	0	0	0	0	0	0	0	0
RNU6-658P:ENSG00000207336	0	0	0	0	0	0	0	0
RNU6-296P:ENSG00000207338	0	0	0	0	0	0	0	0
RNVU1-1:ENSG00000207340	0	0	0	0	0	0	0	0
AL133238.1:ENSG00000207342	0	0	0	0	0	0	0	0
RNU6-225P:ENSG00000207343	0	0	0	0	0	0	0	0
SNORA22C:ENSG00000207344	0	0	0	0	0	0	0	0
RNU6-1222P:ENSG00000207345	0	0	0	0	0	0	0	0
RNU6-306P:ENSG00000207347	0	0	0	0	0	0	0	0
RNVU1-17:ENSG00000207349	0	0	0	0	0	0	0	0
AC131235.1:ENSG00000207351	0	0	0	0	0	0	0	0
RNU6-540P:ENSG00000207352	0	0	0	0	0	0	0	0
RNU6-1257P:ENSG00000207355	0	0	0	0	0	0	0	0
AL663070.1:ENSG00000207356	0	0	0	0	0	0	0	0
RNU6-2:ENSG00000207357	0	0	0	0	0	0	0	0
RNU6-925P:ENSG00000207359	0	0	0	0	0	0	0	0
RNU6-14P:ENSG00000207360	0	0	0	0	0	0	0	0
RNU6-178P:ENSG00000207361	0	0	0	0	0	0	0	0
RNU6-422P:ENSG00000207362	0	0	0	0	0	0	0	0
AL034399.1:ENSG00000207363	0	0	0	0	0	0	0	0
RNU6-939P:ENSG00000207364	0	0	0	0	0	0	0	0
AC021646.1:ENSG00000207365	0	0	0	0	0	0	0	0
RNU6-297P:ENSG00000207366	0	0	0	0	0	0	0	0
RNU6-29P:ENSG00000207367	0	0	0	0	0	0	0	0
AC091633.1:ENSG00000207368	0	0	0	0	0	0	0	0
RNU6-665P:ENSG00000207369	0	0	0	0	0	0	0	0
AC048351.1:ENSG00000207370	0	0	0	0	0	0	0	0
AL160163.1:ENSG00000207371	0	0	0	0	0	0	0	0
SNORD116-23:ENSG00000207375	0	0	0	0	0	0	0	0
RNU6-748P:ENSG00000207378	0	0	0	0	0	0	0	0
AL137159.1:ENSG00000207379	0	0	0	0	0	0	0	0
AL035461.1:ENSG00000207380	0	0	0	0	0	0	0	0
RNU6-950P:ENSG00000207381	0	0	0	0	0	0	0	0
AC080038.1:ENSG00000207382	0	0	0	0	0	0	0	0
AC012442.1:ENSG00000207383	0	0	0	0	0	0	0	0
AC024032.1:ENSG00000207384	0	0	0	0	0	0	0	0
RNU6-310P:ENSG00000207385	0	0	0	0	0	0	0	0
AC007679.1:ENSG00000207386	0	0	0	0	0	0	0	0
AC084877.1:ENSG00000207387	0	0	0	0	0	0	0	0
RNU1-4:ENSG00000207389	1	3	0	0	1	1	20	2
AC093270.1:ENSG00000207391	0	0	0	0	0	0	0	0
SNORA20:ENSG00000207392	0	0	0	0	0	0	0	0
RNU6-136P:ENSG00000207393	0	0	0	0	0	0	0	0
RNU6-1060P:ENSG00000207394	0	0	0	0	0	0	0	0
AC027237.2:ENSG00000207395	0	1	0	0	0	0	0	0
RNU6-1179P:ENSG00000207397	0	0	0	0	0	0	0	0
RNU6-1011P:ENSG00000207399	0	0	0	0	0	0	0	0
AL442064.1:ENSG00000207401	0	0	0	0	0	0	0	0
RNU6-959P:ENSG00000207402	0	0	0	0	0	0	0	0
AL139098.1:ENSG00000207403	0	0	0	0	0	0	0	0
AC109481.1:ENSG00000207404	0	0	0	0	0	0	0	0
SNORA64:ENSG00000207405	0	0	0	0	0	0	0	0
SNORA41:ENSG00000207406	0	0	0	0	0	0	0	0
AC023950.1:ENSG00000207407	0	0	0	0	0	0	0	0
AC245102.1:ENSG00000207408	0	0	0	0	0	0	0	0
AC007448.1:ENSG00000207410	0	0	0	0	0	0	0	0
AC108222.1:ENSG00000207411	0	0	0	0	0	0	0	0
RNU6-455P:ENSG00000207412	0	0	0	0	0	0	0	0
RNU6-768P:ENSG00000207414	0	0	0	0	0	0	0	0
RNU6-1151P:ENSG00000207415	0	0	0	0	0	0	0	0
AP000704.1:ENSG00000207416	0	0	0	0	0	0	0	0
AC103952.1:ENSG00000207417	0	0	0	0	0	0	0	0
AL022724.1:ENSG00000207419	0	0	0	0	0	0	0	0
AC091934.1:ENSG00000207420	0	0	0	0	0	0	0	0
SNORD38B:ENSG00000207421	0	0	0	0	0	0	0	0
RNU6-813P:ENSG00000207422	0	0	0	0	0	0	0	0
AC138932.2:ENSG00000207425	0	0	1	0	0	0	0	0
AL669876.1:ENSG00000207426	0	0	0	0	0	0	0	0
RNU6-95P:ENSG00000207428	0	0	0	0	0	0	0	0
AC026150.1:ENSG00000207430	0	0	0	0	0	0	0	0
RNU6-906P:ENSG00000207431	0	0	0	0	0	0	0	0
AC120045.1:ENSG00000207432	0	0	0	0	0	0	1	0
RNU6-246P:ENSG00000207433	0	0	0	0	0	0	0	0
RNU6-1072P:ENSG00000207434	0	0	0	0	0	0	0	0
RNU6-114P:ENSG00000207435	0	0	0	0	0	0	0	0
AL713888.1:ENSG00000207438	0	0	0	0	0	0	0	0
AC008847.1:ENSG00000207439	0	0	0	0	0	0	0	0
RNU6-541P:ENSG00000207440	0	0	0	0	0	0	0	0
RNU6-21P:ENSG00000207441	0	0	0	0	0	0	0	0
SNORD116-6:ENSG00000207442	0	0	0	0	0	0	0	0
RNU6-417P:ENSG00000207443	0	0	0	0	0	0	0	0
SNORD56B:ENSG00000207444	0	0	0	0	0	0	0	0
SNORD15B:ENSG00000207445	1	1	0	0	0	1	2	1
RNU6-520P:ENSG00000207448	0	0	0	0	0	0	0	0
RNU6-19P:ENSG00000207449	0	0	0	0	0	0	0	0
AC103686.1:ENSG00000207450	0	0	0	0	0	0	0	0
RNU6-291P:ENSG00000207451	0	0	0	0	0	0	0	0
RNU6-606P:ENSG00000207452	0	0	0	0	0	0	0	0
RNU6-535P:ENSG00000207453	0	0	0	0	0	0	0	0
RNU6-1104P:ENSG00000207454	0	0	0	0	0	0	0	0
RNU6-331P:ENSG00000207455	0	0	0	0	0	0	0	0
RNU6-997P:ENSG00000207456	0	0	0	0	0	0	0	0
RNU6-476P:ENSG00000207457	0	0	0	0	0	0	0	0
RNY3P9:ENSG00000207458	0	0	0	0	0	0	0	0
RNU6-1311P:ENSG00000207459	0	0	0	0	0	0	0	0
SNORD116-19:ENSG00000207460	0	0	0	0	0	0	0	0
RNU6-253P:ENSG00000207461	0	0	0	0	0	0	0	0
RNU6-376P:ENSG00000207462	0	0	0	0	0	0	0	0
AL714019.1:ENSG00000207466	0	0	0	0	0	0	0	0
AC117498.1:ENSG00000207467	0	0	0	0	0	0	0	0
SNORA19:ENSG00000207468	0	0	0	0	0	0	0	0
RNU6-41P:ENSG00000207472	0	0	0	0	0	0	0	0
AL512656.1:ENSG00000207473	0	0	0	0	0	0	0	0
RNY1P7:ENSG00000207474	0	0	0	0	0	0	0	0
SNORA80E:ENSG00000207475	0	0	0	0	0	0	0	1
RNU6-286P:ENSG00000207476	0	0	0	0	0	0	0	0
AC107067.1:ENSG00000207480	0	0	0	0	0	0	0	0
AC095043.1:ENSG00000207481	0	0	0	0	0	0	0	0
RNU6-1067P:ENSG00000207483	0	0	0	0	0	0	0	0
AC090971.1:ENSG00000207484	0	0	0	0	0	0	0	0
RNU6-1044P:ENSG00000207486	0	0	0	0	0	0	0	0
AC002064.1:ENSG00000207488	0	0	0	0	0	0	0	0
RNU6-987P:ENSG00000207490	0	0	0	0	0	0	0	0
RNU6-713P:ENSG00000207492	0	0	0	0	0	0	0	0
SNORA46:ENSG00000207493	0	0	0	0	0	0	0	0
AC068896.2:ENSG00000207494	0	0	0	0	0	0	0	0
RNY3P10:ENSG00000207495	0	0	0	0	0	0	0	0
SNORA7A:ENSG00000207496	0	0	0	0	0	0	0	0
AC104805.1:ENSG00000207497	0	0	0	0	0	0	0	0
AL109920.2:ENSG00000207499	0	0	0	0	0	0	0	0
SNORD102:ENSG00000207500	0	0	0	0	0	0	0	0
RNVU1-14:ENSG00000207501	0	0	0	1	0	1	0	1
AL592436.1:ENSG00000207502	0	0	0	0	0	0	0	0
AP001610.1:ENSG00000207503	0	0	0	0	0	0	0	0
RNU6-1031P:ENSG00000207504	0	0	0	0	0	0	0	0
RNU6-1105P:ENSG00000207505	0	0	0	0	0	0	0	0
RNU6-9:ENSG00000207507	0	0	0	0	0	0	0	0
RNU6-1237P:ENSG00000207508	0	0	0	0	0	0	0	0
RNU6-771P:ENSG00000207511	0	0	0	0	0	0	0	0
AP006241.1:ENSG00000207512	0	0	0	0	0	0	0	0
RNU1-3:ENSG00000207513	1	3	0	0	1	1	0	2
RNU6-555P:ENSG00000207515	0	0	0	0	0	0	0	0
SNORA41B:ENSG00000207516	0	0	0	0	0	0	0	0
RNU6-59P:ENSG00000207518	0	0	0	0	0	0	0	0
SNORA66:ENSG00000207523	0	0	0	0	0	0	0	1
RNU6-33P:ENSG00000207524	0	0	0	0	0	0	0	0
AC009053.1:ENSG00000207525	0	0	0	0	0	0	0	0
MIR548C:ENSG00000207546	0	0	0	0	0	0	0	0
MIR25:ENSG00000207547	0	0	0	0	0	0	0	0
MIR217:ENSG00000207548	0	0	0	0	0	0	0	0
MIR521-2:ENSG00000207549	0	0	0	0	0	0	0	0
